title,url,thumbnail_url,channel,description,views,upload_time
"McMaster says Putin ""got a lot more than he bargained for"" with Ukraine invasion",https://www.youtube.com/watch?v=e9BIS442PM8,https://i.ytimg.com/vi/e9BIS442PM8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQUztAde5E71LyReukDItAbSzUdg,Face the Nation,"H.R. McMaster, the former national security adviser and retired lieutenant general, says he thinks Putin ""is very vulnerable."" ""Face the Nation"" is America's premier Sunday morning public...",845000,2022-02-27
Pokémon Scarlet and Pokémon Violet | Announcement Trailer,https://www.youtube.com/watch?v=MAmueMsFR1o,https://i.ytimg.com/vi/MAmueMsFR1o/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBY5ZEnc7icew5J9HKkW_n5--we1A,The Official Pokémon YouTube channel,"Welcome to the open world of Pokémon. Embark on an open-world adventure in Pokémon Scarlet and Pokémon Violet, arriving on Nintendo Switch in late 2022.",1900000,2022-02-27
Elden Ring is RAGE GAME OF 2022,https://www.youtube.com/watch?v=dnpjxeDDThw,https://i.ytimg.com/vi/dnpjxeDDThw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCC7TidUMBpppU0e1eJyPU679b4rQ,CoryxKenshin,Elden Ring is HERE. Don't know if I'm going to make a complete series (up to you guys) but I was COMPELLED to record at least the introduction... Intro OST (Souichi Sakagami): https://www.youtube....,2700000,2022-02-27
"POV: When you turn 18, you get contacts that give you superpowers",https://www.youtube.com/watch?v=7GXYzp8qJvo,https://i.ytimg.com/vi/7GXYzp8qJvo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDfsW4iDLYqX7W_R954IVCBxo0wlw,Ian Boggs,Follow me on IG for your daily dose of Ian! 🙌🏼 IG: https://www.instagram.com/ianboggz/ // Voiceover: @Chad is bored. Hey Ian Nation! What do you think is gonna happen next? 👀 Subscribe...,1900000,2022-02-27
Dream - The Last Minecraft Manhunt (Extra Scenes),https://www.youtube.com/watch?v=bvfsNDa3Bg0,https://i.ytimg.com/vi/bvfsNDa3Bg0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLJlo-CCJL2WfpE5rhouwZ06HMQQ,DreamXD,"This is extra scenes from Dream's channel of the ""Minecraft Speedrunner VS 5 Hunters THE LAST MANHUNT."" video. We react to what happened during the video and talk about it. Original Video:...",1800000,2022-02-27
OUR NEW HOUSE TOUR! THE AGUILARS,https://www.youtube.com/watch?v=ab-iABqizV4,,The Aguilars,Shop Sebastian Aiden: https://sebastianaiden.com 2517 W Mcdowell Rd Suite 106 Phoenix Az 85009 https://www.instagram.com/sebastianaidenfashion/ Snapchat: Sebastianaidenn Shop Our Merch: https://Sh...,408000,2022-02-27
GORDON RAMSAY CALL OUT UNCLE ROGER!,https://www.youtube.com/watch?v=U5zLvsJZAwA,,mrnigelng,Gordon Ramsay trying to roast Uncle Roger? Let's see how good he make his mee goreng (Indonesian fried noodles) first... Original weejio: https://youtu.be/xhsN_36OW4w 🎙 Uncle Roger's Dating...,2300000,2022-02-27
Chat Rooms 👁‍🗨👄👁‍🗨,https://www.youtube.com/watch?v=ZXtS-_aBcWc,,sWooZie,Stalk Me: ig: http://www.instagram.com/swoozie/ TikTok: https://www.tiktok.com/@swoozieftw Art by: Bandit Thumbnail: Zeurel https://www.youtube.com/user/Zeurel Mystery Link: https://youtu.be/rFJ...,570000,2022-02-27
Pokemon Scarlet & Violet - Pokemon Presents Reaction,https://www.youtube.com/watch?v=EI_msSAwBNc,,Austin John Plays,"Pokémon Day 2022's Pokemon Presents revealed the new Pokemon Scarlet & Violet, Pokemon legends Arceus DLC, and Shaymin event with Oak's Letter for Brilliant Diamond & Shining Pearl Official...",451000,2022-02-27
Pokémon Presents 2022.2.27,https://www.youtube.com/watch?v=G0Uc5YONuso,,Pokémon Asia ENG,"""Pokemon Presents"" broadcasted on February 27 (Sun) . The latest info will be delivered to you in 14 minutes of footage. ©2022 Pokémon. ©1995-2022 Nintendo/Creatures Inc./GAME FREAK inc.",315000,2022-02-27
Can I Outsmart the Smartest Minecraft Players?,https://www.youtube.com/watch?v=LCOcM_g_dXk,,Parrot,"I spent a week setting up traps, tunnels, and games to escape them. This is Minecraft's Craziest Game of Tag Like ParrotX2 and his LifeSteal SMP Series where he broke bedrock or blew up 2000...",360000,2022-02-27
Black Mamba Fang!! 🐍 | Herpin Hippie #shorts,https://www.youtube.com/watch?v=r1THNkGimjU,,Herpin Hippie,*Do not attempt I am a professional working for a licensed reptile sanctuary* I am officially doubling down on YouTube Shorts! Like and Subscribe for daily reptile videos from the venom room...,910000,2022-02-27
My Dog Beau,https://www.youtube.com/watch?v=aA6rHFxmUaE,,Haminations,I Love Him BEAU PLUSH (Charity): https://crowdmade.com/collections/haminations/products/haminations-beau-plush-presale Humane Society: https://www.humanesociety.org/all-our-fights/ending-animal-fi...,1100000,2022-02-27
"Giving Away $400,000 in Merch with Dream!",https://www.youtube.com/watch?v=wJtTRfFSnbc,,Beast Philanthropy,DM us at https://www.instagram.com/beastphilanthropy/ to send your merch so we can give it to people in need! I LOVE THESE PEOPLE FOR DONATING! https://www.youtube.com/c/dream https://www.youtube....,1400000,2022-02-27
So I Coded Snake In Minecraft...,https://www.youtube.com/watch?v=kgtkkkIA3kY,,Fundy,Get Honey for FREE today ▸ https://joinhoney.com/fundy Honey finds coupons with one click. Thanks to Honey for sponsoring! I coded the original Snake Game in Minecraft and it was really funny...,1100000,2022-02-26
"Fighting begins on the streets of Kyiv, Ukraine President urges people to fight | 9 News Australia",https://www.youtube.com/watch?v=4uWL5KADkzg,,9 News Australia,"Explosions, blasts and air raid sirens are reverberating through Ukraine’s capital city, Kyiv, as the battle for its control is underway. Government officials have confirmed active fighting...",1700000,2022-02-26
"Brawl Stars: Brawl Talk - Flying Brawler, Game Modes, and MORE!",https://www.youtube.com/watch?v=4oJ7gAdaU5A,,Brawl Stars,Download NOW!! ►► https://supr.cl/playbrawl Be a BRAWLER! Subscribe! ►► https://supr.cl/subscribe Follow our Brawl Stars Esports channel! ►► https://www.youtube.com/c/BrawlStarsEsports...,8100000,2022-02-27
This Streamer Thought he could Trap me...,https://www.youtube.com/watch?v=-6rcNWnJgUA,,rekrap2,"My friend thinks he can trap me, but I trapped him first. To those who read descriptions: I got invited to a tommyinnit vid. should come out in 9ish days. was pretty POG. Where I get my music:...",834000,2022-02-27
DaBaby & NBA YoungBoy - NEIGHBORHOOD SUPERSTAR [Official Audio],https://www.youtube.com/watch?v=6SESaYWEDoU,,DaBaby,DaBaby & YoungBoy Never Broke Again - NEIGHBORHOOD SUPERSTAR Listen: https://DaBaby.lnk.to/NEIGHBORHOODSUPERSTAR Connect: https://instagram.com/dababy https://twitter.com/dababydababy https://w...,861000,2022-02-26
A MESSAGE TO DWAYNE THE ROCK JOHNSON,https://www.youtube.com/watch?v=9a_G5F4iA7M,,Isaiah Photo,FOLLOW ME! Twitter - https://twitter.com/isaiahphoto Instagram - https://www.instagram.com/isaiahphoto TikTok - https://www.tiktok.com/@isaiahphoto Facebook - https://www.facebook.com/theisaiahphoto,4300000,2022-02-26
Life Hacks That Might Get You Fired!,https://www.youtube.com/watch?v=ORRPwtMjt58,,Imbrandonfarris,Watch the BLOOPERS and Deleted Scenes Here! https://youtu.be/K22ZQHXTY74,449000,2022-02-27
THE PET SWITCH | BAILEY SPINN #shorts,https://www.youtube.com/watch?v=P5mGGUmMeeo,,Bailey Spinn,#POV You and your soulmate switch pets. ✿✿✿SUBSCRIBE✿✿✿ ☆☆☆FOLLOW ME☆☆☆ Tiktok: @baileyspinn Spam Tiktok: @definitelynotbaileyspinn Instagram: @baileyspinn Snapchat:...,1000000,2022-02-27
Throwing school busses with my new excavator,https://www.youtube.com/watch?v=Jbd05RNLqs8,,WhistlinDiesel,"Just 30 minutes of wrecking sh*****. This is what $400,000 of excavator looks like. I bought the biggest currently in stock at caterpillar (not big enough but it’ll do for now until the bigger...",1500000,2022-02-26
RED ALERT I HAVE A PROBELM,https://www.youtube.com/watch?v=883NBk37_qE,,camman18,live on twitch tonight with @Twi Shorts come join! https://www.twitch.tv/camman18 follow my twitter: https://twitter.com/camman18_ also no hate to preston or tommy just jokes lol go sub...,3000000,2022-02-27
I WENT ON A 2ND DATE WITH THE SIDEMEN 20 vs 1 GIRL,https://www.youtube.com/watch?v=TQtLRF4Wfns,,Callux,A 2nd date with Chloe from the 20 vs 1 video notwoways - syzygy - 28th Feb 6pm UK Visit: http://www.notwoways.com Chloe's Instagram: https://www.instagram.com/chloediana99/ https://twitter.com/ca...,2700000,2022-02-27
"Minecraft Manhunt, But Colors Are OP...",https://www.youtube.com/watch?v=k5bz_8Ko9T8,,KIER and DEV,"Minecraft Manhunt, But Colors Are OP... Friends: @YelloWool @Boosfer Second Channel: https://www.youtube.com/channel/UCmTWO2mXHnRXHe6Jcb15I2w/featured Our Twitters: Dev: https://twitter.com/Re...",479000,2022-02-27
Meth disguised as onions in California drug bust,https://www.youtube.com/watch?v=CKoLpXYdk_E,,FOX 10 Phoenix,Officials with the U.S. Customs and Border Protection say their officers found meth that was disguised as onions during a drug bust at a California border crossing. MORE: https://bit.ly/3hjIncr...,299000,2022-02-27
Fortnite GUESS WHO vs SypherPK!,https://www.youtube.com/watch?v=DnhSFM3OL08,,More CouRage,🎥 SUBSCRIBE TO COURAGE REACTS HERE! https://www.youtube.com/CouRageReacts 👕 NEW MERCHANDISE! CHECK OUT MY CUSTOM RAZER MOUSE: https://www.razer.com/customs/browse/couragejd/all/mice/razer-or...,744000,2022-02-27
The FUNNIEST FAKE Minecraft Speedruns EVER,https://www.youtube.com/watch?v=2_BgMkDeYTc,,Ayundaru,The FUNNIEST FAKE Minecraft Speedruns EVER Follow My Socials: ✅ Twitter: https://twitter.com/ayundaru_ ✅ Instagram: https://www.instagram.com/ayundaru_yt/ ✅ Twitch: https://www.twitch.tv/ayu...,662000,2022-02-27
Send this to your friends🤣 Gaming.217 (Credits TT/captainxitcat),https://www.youtube.com/watch?v=7AdHMamMNhI,,Gaming.217,Gaming 217 Sound TikTok / captainxitcat https://tiktok.com/@captainxitcat Video: https://vm.tiktok.com/ZMLByWJ8L/ Gameplay YT/ Chris92 https://www.youtube.com/c/Chris92 1. TikTok Channel...,960000,2022-02-27
24 STUNTS IN 24 HOURS!!,https://www.youtube.com/watch?v=spa1tMSL4JM,,Andrew Davila,I may have lost the battle but the war is not over… Ben I’m coming for you!!! And let me know if you guys think the Elevator Boys are sexy! ;) Elevator Boys: https://www.instagram.com/elevator...,637000,2022-02-27
Surprising My Friends with My New Hair!!!,https://www.youtube.com/watch?v=8Pq0VbR1n8o,,Sofie Dossi,I dyed my hair Pink! Seriously! And I decided to get my friends reactions on my new look and hair style! I got some mixed opinions but I'm pretty happy with my decision overall ;) Buy my new...,797000,2022-02-27
Surviving Minecraft’s Deadliest Pit…,https://www.youtube.com/watch?v=7IAMQDfChy4,,Forge Labs,"100 Days on Horror Island in Minecraft.... the series! Sign up at https://www.Cred.ai/Forge to experience better banking, and improve your credit score! CHECK OUT KIM'S VIDEO: https://youtu.be/l...",478000,2022-02-27
NATO Response Force activated,https://www.youtube.com/watch?v=rM-hg-8Si2I,,ABC 10 News,NATO Response Force activated,606000,2022-02-26
The Beginner's Guide to Elden Ring,https://www.youtube.com/watch?v=NLdZ8Zex1cw,,VaatiVidya,"If you're not a beginner, then the most important section might be at 2:15, because I really want to stress the importance of Guard Counters and Super Armor in this game. ►Clothing Merch...",1000000,2022-02-26
ANNOYING MY FRIENDS FOR 24 HOURS!!,https://www.youtube.com/watch?v=7an5xkWQ4Ak,,Jeremy Hutchins,I Annoyed all my friends for a whole 24 hours.. This video was a lot of fun to do NEW VIDEOS EVERY WEEK!! Check out my friends :) Lexi Rivera @Alexa Rivera Brent Rivera @Brent Rivera Stokes...,950000,2022-02-27
World Record Packing Slimes Attempt,https://www.youtube.com/watch?v=JZzl1UlVwFs,,Peachybbies,Subscribe Here: https://www.youtube.com/c/Peachybbies/?sub_confirmation=1 Order slime at: https://www.peachybbies.com/ Follow me here: TikTok: https://vm.tiktok.com/TTPdjuwmc8/ Instagram:...,681000,2022-02-27
Ukraine war: Kyiv braces for battle as Russian tanks enter city,https://www.youtube.com/watch?v=bzSAjQZXDOE,,The Telegraph,Subscribe to The Telegraph on YouTube ► https://bit.ly/3idrdLH Ukrainian soldiers have started taking up positions around Kyiv after Russian troops were seen in northern suburbs and gunfire...,9100000,2022-02-26
Ukrainian soldiers on front line come under attack | Kharkiv dispatch,https://www.youtube.com/watch?v=qDIQf10kHzY,,The Telegraph,Footage filmed by The Telegraph shows the reality for Ukrainian soldiers on the front line as they come under attack in Kharkiv. “This is a spot where the Russians tried to break through...,3400000,2022-02-26
"Tyga, Doja Cat - Freaky Deaky (Official Video)",https://www.youtube.com/watch?v=5ZHXYnGVlcg,,Tyga,"Listen to the single “Freaky Deaky"". Out Now! Stream: https://music.empi.re/freakydeaky #Tyga #DojaCat #FreakyDeaky Official Video by Tyga & Doja Cat - Freaky Deaky © 2022 Kemosabe...",6700000,2022-02-25
